Report_Month,Site_ID,Site_Name,Country,Region,Production_Units,Scope1_tCO2e,Scope2_tCO2e,Electricity_MWh,Renewable_Electricity_MWh,Natural_Gas_MWh,Water_Withdrawal_m3,Total_Waste_t,Recycled_Waste_t,Hazardous_Waste_t,Energy_Unit,Waste_Unit,Source_System,Submission_ID,Submitted_By,Submission_Date
2023-06-01,DE-DRS,Dresden,Germany,Europe,114354,211.1,386.9,3414.8,2125.2,1032.4,34830.0,99.5,76.2,5.4,MWh,tonnes,Site ESG Template,SUB-202306-DE-DRS-01,Dresden ESG Coordinator,2023-06-16
2023-06-01,AT-VIL,Villach,Austria,Europe,98411,174.4,120.9,2884.1,2212.7,850.7,29175.0,83.6,65.1,4.3,MWh,tonnes,Site ESG Template,SUB-202306-AT-VIL-01,Villach ESG Coordinator,2023-06-17
2023-06-01,PT-POR,Porto,Portugal,Europe,88860,159.8,164.3,2514.0,1767.4,783.6,29665.0,75.3,57.3,4.3,MWh,tonnes,Site ESG Template,SUB-202306-PT-POR-01,Porto ESG Coordinator,2023-06-18
2023-06-01,SG-SIN,Singapore,Singapore,Asia,142770,225.7,1289.0,4886.9,1743.1,1092.1,63211.0,146.9,107.5,8.4,MWh,tonnes,Site ESG Template,SUB-202306-SG-SIN-01,Singapore ESG Coordinator,2023-06-19
2023-06-01,MY-KUL,Kulim,Malaysia,Asia,158471,265.4,1361.1,5253.6,2229.0,1283.4,61117.0,147.1,110.1,8.9,MWh,tonnes,Site ESG Template,SUB-202306-MY-KUL-01,Kulim ESG Coordinator,2023-06-08
2023-07-01,DE-MUC,Munich,Germany,Europe,124250,256.4,391.4,3836.5,2531.9,1253.0,42646.0,112.9,90.3,5.4,MWh,tonnes,Site ESG Template,SUB-202307-DE-MUC-01,Munich ESG Coordinator,2023-07-09
2023-07-01,DE-DRS,Dresden,Germany,Europe,113069,210.2,374.0,3367.5,2120.8,1033.5,34520.0,97.9,76.4,6.1,MWh,tonnes,Site ESG Template,SUB-202307-DE-DRS-01,Dresden ESG Coordinator,2023-07-10
2023-07-01,AT-VIL,Villach,Austria,Europe,99626,177.1,123.9,2870.6,2182.3,864.1,29220.0,83.7,65.4,4.7,MWh,tonnes,Site ESG Template,SUB-202307-AT-VIL-01,Villach ESG Coordinator,2023-07-11
2023-07-01,PT-POR,Porto,Portugal,Europe,87883,164.0,161.9,2453.1,1717.3,793.9,29543.0,76.0,59.6,3.6,MWh,tonnes,Site ESG Template,SUB-202307-PT-POR-01,Porto ESG Coordinator,2023-07-12
2023-07-01,SG-SIN,Singapore,Singapore,Asia,144350,228.9,1326.5,4960.8,1725.4,1116.7,65099.0,144.4,108.8,8.6,MWh,tonnes,Site ESG Template,SUB-202307-SG-SIN-01,Singapore ESG Coordinator,2023-07-13
2023-07-01,MY-KUL,Kulim,Malaysia,Asia,152619,257.7,1320.5,5033700.0,2099.2,1261.2,58336.0,147.5,112.0,9.1,kWh,tonnes,Site ESG Template,SUB-202307-MY-KUL-01,Kulim ESG Coordinator,2023-07-14
2023-08-01,DE-MUC,Munich,Germany,Europe,124923,254.6,389.9,3859.5,2559.8,1249.8,43469.0,115.4,91.6,5.7,MWh,tonnes,Site ESG Template,SUB-202308-DE-MUC-01,Munich ESG Coordinator,2023-08-15
2023-08-01,DE-DRS,Dresden,Germany,Europe,110010,209.8,366.0,3253.7,2033.7,1032.3,34264.0,95.0,74.4,4.7,MWh,tonnes,Site ESG Template,SUB-202308-DE-DRS-01,Dresden ESG Coordinator,2023-08-16
2023-08-01,AT-VIL,Villach,Austria,Europe,98245,175.1,127.3,2887.0,2179.8,857.6,28882.0,82.4,63.6,4.4,MWh,tonnes,Site ESG Template,SUB-202308-AT-VIL-01,Villach ESG Coordinator,2023-08-17
2023-08-01,PT-POR,Porto,Portugal,Europe,85202,159.6,161.0,2395.8,1663.9,773.0,27519.0,73.5,56.2,4.4,MWh,tonnes,Site ESG Template,SUB-202308-PT-POR-01,Porto ESG Coordinator,2023-08-18
2023-08-01,SG-SIN,Singapore,Singapore,Asia,141151,223.9,1316.1,4822.0,1611.9,1102.2,63564.0,140.4,101.6,8.7,MWh,tonnes,Site ESG Template,SUB-202308-SG-SIN-01,Singapore ESG Coordinator,2023-08-19
2023-08-01,MY-KUL,Kulim,Malaysia,Asia,150297,246.1,1289.6,4931.3,2065.6,1208.1,57538.0,138.9,103.0,7.7,MWh,tonnes,Site ESG Template,SUB-202308-MY-KUL-01,Kulim ESG Coordinator,2023-08-08
2023-09-01,DE-MUC,Munich,Germany,Europe,118214,242.3,383.1,3689.0,2412.0,1187.2,39819.0,108.3,86.5,5.1,MWh,tonnes,Site ESG Template,SUB-202309-DE-MUC-01,Munich ESG Coordinator,2023-09-09
2023-09-01,DE-DRS,Dresden,Germany,Europe,108953,205.4,378.0,3312.3,2052.3,1008.1,34515.0,93.7,73.4,4.7,MWh,tonnes,Site ESG Template,SUB-202309-DE-DRS-01,Dresden ESG Coordinator,2023-09-10
2023-09-01,AT-VIL,Villach,Austria,Europe,93808,161.9,122.2,2718.1,2039.1,793.9,27358.0,77.6,59.8,4.2,MWh,tonnes,Site ESG Template,SUB-202309-AT-VIL-01,Villach ESG Coordinator,2023-09-11
2023-09-01,PT-POR,Porto,Portugal,Europe,86710,157.1,163.7,2420.7,1676.8,765.4,28162.0,75.4,59.6,4.7,MWh,tonnes,Site ESG Template,SUB-202309-PT-POR-01,Porto ESG Coordinator,2023-09-12
2023-09-01,SG-SIN,Singapore,Singapore,Asia,139902,219.6,1266.4,4695.5,1606.7,1072.1,61913.0,140.3,103.1,7.4,MWh,tonnes,Site ESG Template,SUB-202309-SG-SIN-01,Singapore ESG Coordinator,2023-09-13
2023-09-01,MY-KUL,Kulim,Malaysia,Asia,146244,246.2,1241.3,4821.7,2063.2,1193.4,56189.0,139.2,104.2,8.5,MWh,tonnes,Site ESG Template,SUB-202309-MY-KUL-01,Kulim ESG Coordinator,2023-09-14
2023-10-01,DE-MUC,Munich,Germany,Europe,118673,244.8,377.5,3711.1,2452.7,1196.0,40161.0,108.5,86.2,5.6,MWh,tonnes,Site ESG Template,SUB-202310-DE-MUC-01,Munich ESG Coordinator,2023-10-15
2023-10-01,DE-DRS,Dresden,Germany,Europe,103908,201.2,345.3,3071.5,1920.4,974.2,32622.0,90.0,69.9,5.5,MWh,tonnes,Site ESG Template,SUB-202310-DE-DRS-01,Dresden ESG Coordinator,2023-10-16
2023-10-01,AT-VIL,Villach,Austria,Europe,91763,158.6,117.8,2685.6,2031.3,781.0,26969.0,76.7,60.5,4.6,MWh,tonnes,Site ESG Template,SUB-202310-AT-VIL-01,Villach ESG Coordinator,2023-10-17
2023-10-01,PT-POR,Porto,Portugal,Europe,85244,155.3,153.2,2390.1,1693.8,763.3,28541.0,72.4,56.8,3.8,MWh,tonnes,Site ESG Template,SUB-202310-PT-POR-01,Porto ESG Coordinator,2023-10-18
2023-10-01,SG-SIN,Singapore,Singapore,Asia,132865,213.7,1223.2,4524.2,1540.7,1050.9,59952.0,135.2,98.1,8.3,MWh,tonnes,Site ESG Template,SUB-202310-SG-SIN-01,Singapore ESG Coordinator,2023-10-19
2023-10-01,MY-KUL,Kulim,Malaysia,Asia,141055,236.7,1186.8,4602.9,1965.5,1146.3,55115.0,134.9,100.8,7.5,MWh,tonnes,Site ESG Template,SUB-202310-MY-KUL-01,Kulim ESG Coordinator,2023-10-08
2023-11-01,DE-MUC,Munich,Germany,Europe,119373,245.2,382.4,3729.5,2454.7,1202.3,41513.0,108.0,83.6,5.6,MWh,tonnes,Site ESG Template,SUB-202311-DE-MUC-01,Munich ESG Coordinator,2023-11-09
2023-11-01,DE-DRS,Dresden,Germany,Europe,105370,195.7,361.3,3157.6,1953.2,962.2,33024.0,94.6,74.3,5.7,MWh,tonnes,Site ESG Template,SUB-202311-DE-DRS-01,Dresden ESG Coordinator,2023-11-10
2023-11-01,AT-VIL,Villach,Austria,Europe,93932,164.2,121.4,2706.7,2032.5,805.1,27419.0,77.7,61.6,3.9,MWh,tonnes,Site ESG Template,SUB-202311-AT-VIL-01,Villach ESG Coordinator,2023-11-11
2023-11-01,PT-POR,Porto,Portugal,Europe,83303,154.0,154.8,2339.1,1635.5,744.0,26990.0,72.7,57.7,3.4,MWh,tonnes,Site ESG Template,SUB-202311-PT-POR-01,Porto ESG Coordinator,2023-11-12
2023-11-01,SG-SIN,Singapore,Singapore,Asia,136918,218.9,1235.2,4610.6,1597.8,1061.5,62156.0,139.3,101.3,6.8,MWh,tonnes,Site ESG Template,SUB-202311-SG-SIN-01,Singapore ESG Coordinator,2023-11-13
2023-11-01,MY-KUL,Kulim,Malaysia,Asia,144983,240.9,1240.2,4785.7,2029.8,1166.8,56796.0,136.6,101.1,8.1,MWh,tonnes,Site ESG Template,SUB-202311-MY-KUL-01,Kulim ESG Coordinator,2023-11-14
2023-12-01,DE-MUC,Munich,Germany,Europe,124571,262.2,376.2,3831.6,2577.5,1266.8,41393.0,114.9,88.5,6.3,MWh,tonnes,Site ESG Template,SUB-202312-DE-MUC-01,Munich ESG Coordinator,2023-12-15
2023-12-01,DE-DRS,Dresden,Germany,Europe,111817,212.3,372.0,3371.1,2131.2,1028.7,34590.0,100.8,80.6,5.5,MWh,tonnes,Site ESG Template,SUB-202312-DE-DRS-01,Dresden ESG Coordinator,2023-12-16
2023-12-01,AT-VIL,Villach,Austria,Europe,0,171.4,124.9,2822.8,2128.8,828.9,28166.0,81.0,61.6,4.3,MWh,tonnes,Site ESG Template,SUB-202312-AT-VIL-01,Villach ESG Coordinator,2023-12-17
2023-12-01,PT-POR,Porto,Portugal,Europe,88352,160.7,152.5,2448.9,1755.7,787.8,28760.0,75.8,57.7,3.6,MWh,tonnes,Site ESG Template,SUB-202312-PT-POR-01,Porto ESG Coordinator,2023-12-18
2023-12-01,SG-SIN,Singapore,Singapore,Asia,141437,221.7,1278.5,4761.0,1642.8,1084.3,64567.0,138.9,100.2,8.7,MWh,tonnes,Site ESG Template,SUB-202312-SG-SIN-01,Singapore ESG Coordinator,2023-12-19
2023-12-01,MY-KUL,Kulim,Malaysia,Asia,149529,249.7,1263.7,4864.0,2055.7,1228.0,59739.0,142.9,103.4,7.5,MWh,tonnes,Site ESG Template,SUB-202312-MY-KUL-01,Kulim ESG Coordinator,2023-12-08
2024-01-01,DE-MUC,Munich,Germany,Europe,126873,253.6,316.3,3936.4,2849.3,1228.4,43077.0,117.1,95.9,-4.0,MWh,tonnes,Site ESG Template,SUB-202401-DE-MUC-01,Munich ESG Coordinator,2024-01-09
2024-01-01,DE-DRS,Dresden,Germany,Europe,114354,207.0,313.1,3400.3,2324.4,1019.8,35346.0,99.8,83.7,4.7,MWh,tonnes,Site ESG Template,SUB-202401-DE-DRS-01,Dresden ESG Coordinator,2024-01-10
2024-01-01,AT-VIL,Villach,Austria,Europe,99586,174.3,88.1,2880.2,2375.5,849.8,28983.0,81.3,67.4,4.0,MWh,tonnes,Site ESG Template,SUB-202401-AT-VIL-01,Villach ESG Coordinator,2024-01-11
2024-01-01,PT-POR,Porto,Portugal,Europe,93127,165.6,127.6,2592.9,1994.9,801.6,30260.0,77.3,62.7,4.6,MWh,tonnes,Site ESG Template,SUB-202401-PT-POR-01,Porto ESG Coordinator,2024-01-12
2024-01-01,SG-SIN,Singapore,Singapore,Asia,144522,229.1,1117.2,4782.8,1973.6,1108.1,64621.0,143.1,112.2,6.8,MWh,tonnes,Site ESG Template,SUB-202401-SG-SIN-01,Singapore ESG Coordinator,2024-01-13
2024-01-01,MY-KUL,Kulim,Malaysia,Asia,156185,256.0,1122.2,5091.3,2520.3,1241.9,60746.0,145.8,115.7,7.1,MWh,tonnes,Site ESG Template,SUB-202401-MY-KUL-01,Kulim ESG Coordinator,2024-01-14
2024-02-01,DE-MUC,Munich,Germany,Europe,134342,270.6,319.6,4107.4,3009.0,1329.9,43948.0,120.6,100.1,5.8,MWh,tonnes,Site ESG Template,SUB-202402-DE-MUC-01,Munich ESG Coordinator,2024-02-15
2024-02-01,DE-DRS,Dresden,Germany,Europe,116765,213.8,316.5,3478.1,2390.6,1033.0,35027.0,100.1,83.8,6.1,MWh,tonnes,Site ESG Template,SUB-202402-DE-DRS-01,Dresden ESG Coordinator,2024-02-16
2024-02-01,AT-VIL,Villach,Austria,Europe,103715,175.1,91.8,3001.0,2475.0,853.8,30029.0,85.3,70.1,4.5,MWh,tonnes,Site ESG Template,SUB-202402-AT-VIL-01,Villach ESG Coordinator,2024-02-17
2024-02-01,PT-POR,Porto,Portugal,Europe,93310,165.6,121.7,2608.4,2037.9,810.3,30876.0,79.3,64.3,4.2,MWh,tonnes,Site ESG Template,SUB-202402-PT-POR-01,Porto ESG Coordinator,2024-02-18
2024-02-01,SG-SIN,Singapore,Singapore,Asia,146029,226.8,1143.2,4922.9,2048.4,1116.4,63459.0,148.6,116.2,8.2,MWh,tonnes,Site ESG Template,SUB-202402-SG-SIN-01,Singapore ESG Coordinator,2024-02-19
2024-02-01,MY-KUL,Kulim,Malaysia,Asia,161702,269.9,1173.9,5317.9,2628.6,1304.7,60760.0,149.3,116.9,7.5,MWh,tonnes,Site ESG Template,SUB-202402-MY-KUL-01,Kulim ESG Coordinator,2024-02-08
2024-03-01,DE-MUC,Munich,Germany,Europe,130027,262.4,304.4,3926.2,2880.1,1286.0,44188.0,116.7,95.3,7.2,MWh,tonnes,Site ESG Template,SUB-202403-DE-MUC-01,Munich ESG Coordinator,2024-03-09
2024-03-01,DE-DRS,Dresden,Germany,Europe,116326,211.6,297.1,3427.7,2406.7,1036.5,35659.0,99.9,81.4,5.5,MWh,tonnes,Site ESG Template,SUB-202403-DE-DRS-01,Dresden ESG Coordinator,2024-03-10
2024-03-01,AT-VIL,Villach,Austria,Europe,103366,178.4,92.1,2994.5,2466.8,875.8,29244.0,83.5,68.9,4.0,MWh,tonnes,Site ESG Template,SUB-202403-AT-VIL-01,Villach ESG Coordinator,2024-03-11
2024-03-01,PT-POR,Porto,Portugal,Europe,93429,163.6,123.5,2621.5,2042.8,802.0,30934.0,80.9,66.3,5.0,MWh,tonnes,Site ESG Template,SUB-202403-PT-POR-01,Porto ESG Coordinator,2024-03-12
2024-03-01,SG-SIN,Singapore,Singapore,Asia,145883,228.7,1131.1,4893.1,2048.9,1111.5,63789.0,148.2,115.4,7.3,MWh,tonnes,Site ESG Template,SUB-202403-SG-SIN-01,Singapore ESG Coordinator,2024-03-13
2024-03-01,MY-KUL,Kulim,Malaysia,Asia,158471,256.5,1140.9,5224.1,2610.4,1260.7,61726.0,152.9,118.6,7.3,MWh,tonnes,Site ESG Template,SUB-202403-MY-KUL-01,Kulim ESG Coordinator,2024-03-14
2024-04-01,DE-MUC,Munich,Germany,Europe,131335,257.6,315.0,4036.8,2954.4,1266.4,43878.0,121.9,101.7,6.9,MWh,tonnes,Site ESG Template,SUB-202404-DE-MUC-01,Munich ESG Coordinator,2024-04-15
2024-04-01,DE-DRS,Dresden,Germany,Europe,115037,217.1,310.3,3399.2,2332.8,1048.6,34718.0,98.6,82.6,4.9,MWh,tonnes,Site ESG Template,SUB-202404-DE-DRS-01,Dresden ESG Coordinator,2024-04-16
2024-04-01,AT-VIL,Villach,Austria,Europe,100132,172.2,86.5,2831.5,2335.9,834.1,28532.0,83.0,67.0,4.2,MWh,tonnes,Site ESG Template,SUB-202404-AT-VIL-01,Villach ESG Coordinator,2024-04-17
2024-04-01,PT-POR,Porto,Portugal,Europe,94050,165.6,127.0,2569.1,1974.2,803.0,31117.0,78.5,66.1,4.8,MWh,tonnes,Site ESG Template,SUB-202404-PT-POR-01,Porto ESG Coordinator,2024-04-18
2024-04-01,SG-SIN,Singapore,Singapore,Asia,149810,237.5,1149.9,4966.5,2075.0,1160.4,67674.0,150.8,119.7,8.8,MWh,tonnes,Site ESG Template,SUB-202404-SG-SIN-01,Singapore ESG Coordinator,2024-04-19
2024-04-01,MY-KUL,Kulim,Malaysia,Asia,159634,261.0,1163.5,5184.1,2518.5,1263.3,61725.0,152.1,170.4,9.2,MWh,tonnes,Site ESG Template,SUB-202404-MY-KUL-01,Kulim ESG Coordinator,2024-04-08
2024-05-01,DE-MUC,Munich,Germany,Europe,131583,264.6,316.3,4086.6,2999.8,1288.2,43287.0,120.3,98.2,7.4,MWh,tonnes,Site ESG Template,SUB-202405-DE-MUC-01,Munich ESG Coordinator,2024-05-09
2024-05-01,DE-DRS,Dresden,Germany,Europe,119853,220.5,327.3,3559.3,2434.7,1071.4,36029.0,103.1,86.1,6.3,MWh,tonnes,Site ESG Template,SUB-202405-DE-DRS-01,Dresden ESG Coordinator,2024-05-10
2024-05-01,AT-VIL,Villach,Austria,Europe,102596,175.0,92.3,2919.5,2391.0,854.0,30024.0,87.2,70.9,4.8,MWh,tonnes,Site ESG Template,SUB-202405-AT-VIL-01,Villach ESG Coordinator,2024-05-11
2024-05-01,PT-POR,Porto,Portugal,Europe,93056,166.3,128.4,2564.4,1962.6,806.3,30602.0,78.1,64.3,4.5,MWh,tonnes,Site ESG Template,SUB-202405-PT-POR-01,Porto ESG Coordinator,2024-05-12
2024-05-01,SG-SIN,Singapore,Singapore,Asia,148815,,1197.7,5072.1,2060.5,1149.3,67172.0,150.9,120.9,8.1,MWh,tonnes,Site ESG Template,SUB-202405-SG-SIN-01,Singapore ESG Coordinator,2024-05-13
2024-05-01,MY-KUL,Kulim,Malaysia,Asia,159521,261.4,1160.0,5203.4,2545.8,1267.8,60133.0,153.3,122.9,7.3,MWh,tonnes,Site ESG Template,SUB-202405-MY-KUL-01,Kulim ESG Coordinator,2024-05-14
2024-06-01,DE-MUC,Munich,Germany,Europe,133957,267.4,328.2,4163.3,3035.6,1312.5,43855.0,120.3,98.6,6.8,MWh,tonnes,Site ESG Template,SUB-202406-DE-MUC-01,Munich ESG Coordinator,2024-06-15
2024-06-01,DE-DRS,Dresden,Germany,Europe,115149,210.9,311.1,3394.4,2325.2,1032.9,34991.0,98.6,83.2,5.2,MWh,tonnes,Site ESG Template,SUB-202406-DE-DRS-01,Dresden ESG Coordinator,2024-06-16
2024-06-01,AT-VIL,Villach,Austria,Europe,102775,178.0,91.9,2925.4,2398.8,870.2,28667.0,83.4,69.1,4.0,MWh,tonnes,Site ESG Template,SUB-202406-AT-VIL-01,Villach ESG Coordinator,2024-06-17
2024-06-01,PT-POR,Porto,Portugal,Europe,94565,169.0,130.8,2650.5,2037.7,831.0,30863.0,81.6,67.6,5.1,MWh,tonnes,Site ESG Template,SUB-202406-PT-POR-01,Porto ESG Coordinator,2024-06-18
2024-06-01,SG-SIN,Singapore,Singapore,Asia,147015,226.1,1193.1,4982.4,1982.4,1098.9,64000.0,146.0,114.0,7.9,MWh,tonnes,Site ESG Template,SUB-202406-SG-SIN-01,Singapore ESG Coordinator,2024-06-19
2024-06-01,MY-KUL,Kulim,Malaysia,Asia,163487,270.1,1183.4,5296.3,2585.1,1320.6,62347.0,156.7,122.0,8.2,MWh,tonnes,Site ESG Template,SUB-202406-MY-KUL-01,Kulim ESG Coordinator,2024-06-08
2024-07-01,DE-MUC,Munich,Germany,Europe,130759,267.3,319.8,3976.1,2877.3,1292.7,43726.0,120.3,98.6,7.6,MWh,tonnes,Site ESG Template,SUB-202407-DE-MUC-01,Munich ESG Coordinator,2024-07-09
2024-07-01,DE-DRS,Dresden,Germany,Europe,114256,207.0,322.9,3391.8,2282.1,1009.4,34304.0,101.1,84.8,6.4,MWh,tonnes,Site ESG Template,SUB-202407-DE-DRS-01,Dresden ESG Coordinator,2024-07-10
2024-07-01,AT-VIL,Villach,Austria,Europe,102367,176.0,97.3,2943.5,2386.1,855.8,29448.0,82.8,69.9,4.3,MWh,tonnes,Site ESG Template,SUB-202407-AT-VIL-01,Villach ESG Coordinator,2024-07-11
